set,id,verdict,note,topic,sheet,row,col
webp,ffct-15897,text,baked-in text,pure oxygen makes fire burn brighter,,0,3
webp,ffct-15903,text,baked-in text,gases can be cooled into liquids,,2,0
webp,ffct-15904,text,baked-in text,tiny pores allow capillary action,,2,1
webp,ffct-15912,text,baked-in text,cooling a liquid makes it thicker and flow slower,,0,0
webp,ffct-15916,text,baked-in text,kitchen liquids like syrup and ketchup are very viscous,,0,3
webp,ffct-15921,text,baked-in text,blood is more viscous than water as a real-life example,,1,3
webp,ffct-15978,text,baked-in text,ice melts at room temperature in the Philippines,,0,3
webp,ffct-15980,text,baked-in text,hot air rises cold air sinks,,1,0
webp,ffct-15982,text,baked-in text,cold air is denser and sinks,,1,2
webp,ffct-15992,text,baked-in text,convection happens in fluids,,2,1
webp,ffct-15999,text,baked-in text,convection heating and cooling a room,,3,0
webp,ffct-16008,text,baked-in text,atoms have three main particles,,0,1
webp,ffct-16015,text,baked-in text,nucleus is small but holds most mass,,2,0
webp,ffct-16018,text,baked-in text,atomic number is the number of protons,,2,3
webp,ffct-16026,text,baked-in text,atoms become ions by gaining or losing electrons,,0,2
webp,ffct-16032,text,baked-in text,noble gases rarely bond,,1,3
webp,ffct-16047,text,baked-in text,bonded compound differs from its elements,,3,2
webp,ffct-16722,text,milk carton text,refrigeration keeps milk fresh longer,,1,2
webp,ffct-16756,text,formula and labels,same size can have different density,,1,3
webp,ffct-16793,text,sentence labels,matter expands when heated,,1,2
webp,ffct-16808,text,sentence labels,different materials expand by different amounts,,0,0
webp,ffct-16815,text,vinegar label,acidic side of pH scale,,1,3
webp,ffct-16816,text,product labels,basic side of pH scale,,2,0
webp,ffct-16819,text,antacid label,stomach acid pH,,2,2
webp,ffct-16823,text,acid label,strong versus weak acids,,3,1
webp,ffct-16830,text,fire triangle labels,combustion is a chemical reaction,,0,2
webp,ffct-16836,text,ignition label,ignition temperature starts a fire,,1,2
webp,ffct-16845,text,calendar text,Fire Prevention Month in the Philippines,,2,3
webp,ffct-16849,text,heat waves label,endothermic change absorbs heat,,3,2
webp,ffct-16858,text,hand warmer text,hand warmers use exothermic reactions,,1,0
webp,ffct-16871,text,crude oil label,crude oil is a mixture of hydrocarbons,,2,3
webp,ffct-16886,text,fuel labels,crude oil yields many useful fractions,,0,2
webp,ffct-16894,off-topic,shows dinosaurs not plastic,plastics come from petroleum building blocks,,2,0
webp,ffct-16910,text,diagram labels,Mixture versus compound comparison,,0,0
webp,ffct-16914,text,iron carbon labels,Alloys are solid mixtures of metals,,1,0
webp,ffct-16935,text,price tag text,Silver conducts slightly better but copper is cheaper,,1,0
webp,ffct-16947,text,wire labels,A too-thin copper wire can overheat and start fires,,3,2
webp,ffct-16951,text,paragraph labels,Cold copper conducts even better than hot copper,,0,1
webp,ffct-16965,off-topic,depicts gravity not atmosphere,air forms the atmosphere around Earth,,1,2
webp,ffct-16973,text,oil and rock labels,Thick oil is not the same as heavy,,2,0
webp,ffct-16992,text,pyrex label,Soda-lime glass versus heat-resistant Pyrex glass,,3,2
webp,ffct-17024,text,electron labels,Ionic giving versus covalent sharing electrons,,3,2
webp,ffct-17025,text,metal nonmetal signs,Cation positive ion and anion negative ion,,3,3
webp,ffct-17033,off-topic,organic not ionic,Ionic compounds used as farm fertilizers,,1,1
webp,ffct-17036,text,air jar labels,oxygen is one part of the air mixture,,2,0
webp,ffct-17038,text,gills labels,fish need oxygen dissolved in water,,2,2
webp,ffct-17075,text,warning text baked in,bulging can warns food is unsafe,,3,0
webp,ffct-17083,text,POP text baked in,Why a balloon pops loudly,,0,2
webp,ffct-17095,text,sapo text baked in,The fat-plus-base reaction is called saponification,,2,3
webp,ffct-17098,text,LYE and SOAP labels,Lye is the common base used to make soap,,3,0
webp,ffct-17100,text,SOAP label baked in,Saponification also makes glycerin as a byproduct,,3,1
webp,ffct-17101,text,SOAP and OIL labels,Why water alone cannot remove oily dirt,,3,2
webp,ffct-17102,text,detergent labels baked in,How soap differs from synthetic detergents,,3,3
webp,ffct-17103,text,SOAP label baked in,Soap is not food even though it comes from fat,,0,0
webp,ffct-17107,text,SOAP label baked in,Soap can be made from animal fat or plant oil,,0,2
webp,ffct-17109,text,labels baked in,People made soap long ago by mixing fat and ash,,1,0
webp,ffct-17110,text,labels baked in,Soap is the salt of a fatty acid,,1,1
webp,ffct-17125,text,label baked in,Why you rinse a new filter first,,3,2
webp,ffct-17142,text,labels baked in,Diamonds form under heat and pressure,,1,1
webp,ffct-17152,text,sign text baked in,The Philippines mines gold not diamonds,,3,3
webp,ffct-17153,text,timeline labels baked in,Most diamonds are billions of years old,,0,0
webp,ffct-17156,text,carbon label baked in,Diamond is made of just one element carbon,,0,3
webp,ffct-17166,text,cold pack label baked in,getting colder as a sign of reaction,,1,3
webp,ffct-17174,text,labels baked in,when a sign stops the reaction is finishing,,3,0
webp,ffct-17176,text,labels baked in,different acids give the same indicator color,,3,1
webp,ffct-17179,text,labels baked in,indicators near neutral show an in-between color,,3,2
webp,ffct-17180,text,LITMUS label baked in,litmus dye actually comes from lichens,,3,3
webp,ffct-17187,text,label baked in,why indicators are kept away from light and air,,1,0
webp,ffct-17188,text,element word baked in,Elements cannot be broken into simpler substances,,1,1
webp,ffct-17190,text,GOLD label baked in,Element vs compound: which one can be broken down,,1,3
webp,ffct-17191,text,labels baked in,Electrolysis breaks compounds but not elements,,2,0
webp,ffct-17192,text,COPPER label baked in,Cutting an element does not make it simpler,,2,1
webp,ffct-17196,text,labels baked in,Philippine mining digs up elements like copper and nickel,,3,0
webp,ffct-17198,text,labels baked in,Element vs mixture: separating is not breaking down,,3,2
webp,ffct-17199,text,IRON and RUST labels,Rust is not iron breaking down but combining,,3,3
webp,ffct-17201,text,OXYGEN label baked in,We breathe the element oxygen we cannot manufacture,,0,1
webp,ffct-17204,text,element names baked in,There is a fixed limited set of elements in nature,,1,0
webp,ffct-17234,text,ALPHA PARTICLE label,alpha decay releases helium core,,1,3
webp,ffct-17237,text,labels baked in,comparing alpha beta gamma penetration,,2,2
webp,ffct-17239,text,PNRI label baked in,PNRI uses radiation safely in PH,,3,0
webp,ffct-17243,text,isotope labels baked in,isotopes are why some atoms decay,,0,0
webp,ffct-17246,text,GAMMA RAY label baked,radiation therapy treats cancer,,0,2
webp,ffct-17258,text,temperature labels baked in,Rubber gets stiff and brittle in very cold temperatures,,2,3
webp,ffct-17261,text,labels baked in,"Most modern rubber is synthetic, made from petroleum",,3,2
webp,ffct-17264,off-topic,octopus not rubber,Kid question: why does rubber eventually tear or break,,0,1
webp,ffct-17271,text,gas labels baked in,The main greenhouse gases besides carbon dioxide,,1,3
webp,ffct-17273,text,pH labels baked in,Oceans absorb carbon dioxide and turn acidic,,2,0
webp,ffct-17283,text,CO2 chart labels baked,Scientists measure carbon dioxide in the air,,3,1
webp,ffct-17306,text,BRONZE label baked in,Metal alloys are solid homogeneous mixtures,,1,0
webp,ffct-17309,text,MEDICINE label baked in,Why medicines must be homogeneous for safe doses,,1,1
webp,ffct-17319,text,labels baked in,Misconception that blood is salty from food salt,,3,0
webp,ffct-17320,text,labels baked in,How kidneys remove extra salt,,3,1
webp,ffct-17323,text,SUGAR SALT labels baked,Comparing what salt and sugar do for the body,,3,2
webp,ffct-17325,text,FISH PASTE label baked,How salt also keeps food from spoiling,,0,0
webp,ffct-17332,text,WATER OIL labels baked,the two ends of a soap molecule,,1,1
webp,ffct-17334,text,labels baked in,why soap cleans better in warm water,,1,2
webp,ffct-17338,text,labels baked in,why detergent beats soap in hard water,,2,2
webp,ffct-17342,text,labels baked in,soap removes natural skin oil and sweat,,3,1
webp,ffct-17344,off-topic,no sanitizer shown,soap vs alcohol sanitizer comparison,,3,3
webp,ffct-17347,text,labels baked in,how people first discovered soap,,0,0
webp,ffct-17349,text,plastic type labels baked,mixing different plastic types ruins a recycled batch,,0,2
webp,ffct-17358,text,labels baked in,clear plastic is easier to recycle than colored,,1,2
webp,ffct-17360,text,sachet labels baked in,sachets are very hard to recycle in the Philippines,,2,0
webp,ffct-17363,text,recycling numbers baked in,not every recycling number is accepted locally,,2,3
webp,ffct-17366,text,labels baked in,Stainless steel is an alloy not a pure metal,,3,2
webp,ffct-17367,text,CHROMIUM label baked in,How much chromium makes steel stainless,,3,3
webp,ffct-17376,text,grade labels baked in,Different grades of stainless steel exist,,1,3
webp,ffct-17383,text,book text baked in,Stainless steel was discovered about a century ago,,3,1
webp,ffct-17395,text,bottle labels baked in,distilled water compared to mineral water,,0,0
webp,ffct-17397,text,distillation labels baked in,distilling twice makes water even purer,,0,1
webp,ffct-17398,text,water type labels baked in,distilled water makes soap lather more,,0,2
webp,ffct-17404,text,waste label baked in,the collected drops are the distilled water itself,,2,0
webp,ffct-17405,text,bottle labels baked in,distilled water versus purified water,,2,1
webp,ffct-17447,text,soap label baked in,soap lowers water's high surface tension,,2,3
webp,ffct-17463,text,map labels baked in,Silk-making was discovered long ago in China,,1,1
webp,ffct-17482,text,helmet label baked in,Why humid PH bridges need rust protection,,3,2
webp,ffct-17488,text,packet labels baked in,Silica gel packets soak up humidity to stop rust,,0,2
webp,ffct-17499,off-topic,bottle cap not egg,Kwek-kwek is a real egg not fake,,1,3
webp,ffct-17503,text,speech bubble text,Where the playful name kwek-kwek comes from,,2,3
webp,ffct-17504,text,cart label baked in,Where the quail eggs come from,,3,0
webp,ffct-17505,text,eat now sign text,Kwek-kwek tastes best fresh and hot,,3,1
webp,ffct-17507,text,compound labels baked in,Why transition metal compounds are colorful,,3,3
webp,ffct-17508,text,factory sign labels baked in,Transition metals as catalysts speeding reactions,,0,0
webp,ffct-17515,text,periodic table title text,Misconception that all metals are transition metals,,1,3
webp,ffct-17516,text,comparison labels baked in,Transition metals compared to alkali metals,,2,0
webp,ffct-17519,text,zinc coating label baked in,Zinc coating protects iron roofs,,2,3
webp,ffct-17524,text,coin labels baked in,Transition metals used in coins,,3,2
webp,ffct-17529,text,state labels baked in,How particles move during freezing and melting,,0,1
webp,ffct-17535,text,cold into water text,Cold is not a thing that flows in,,0,3
webp,ffct-17576,text,water label baked in,Why some colors climb higher than others,,2,1
webp,ffct-17580,text,letter text baked in,Real-world use solving crimes with ink,,3,0
webp,ffct-17587,text,pigment labels baked in,Where the word chromatography comes from,,0,0
webp,ffct-17604,text,mercury label baked in,Why mercury is liquid unlike other metals,,3,1
webp,ffct-17606,text,jeepney label baked in,Solid steel in Philippine jeepneys and buildings,,3,3
webp,ffct-17625,text,caption text baked in,Millions of atoms across a single human hair,,3,3
webp,ffct-17627,text,particle labels baked in,Atoms are small but not the very smallest,,0,1
webp,ffct-17629,text,chip labels baked in,Tiny atoms matter in computer chips and phones,,0,3
webp,ffct-17683,text,cycle labels baked in,melting absorbs heat freezing releases heat,,3,0
webp,ffct-17687,text,freezer label baked in,freezing happens by losing heat not gaining cold,,3,1
webp,ffct-17704,text,metal labels baked in,Metals differ in how well they conduct,,1,0
webp,ffct-17708,text,safety banner baked in,Why wood and plastic do not conduct,,1,2
webp,ffct-17711,text,wire labels baked in,Thicker metal wire conducts more easily,,1,3
webp,ffct-17712,text,path labels baked in,Pure metals conduct better than alloys,,2,0
webp,ffct-17724,text,material labels baked in,Paper is not made from plastic even though both are thin,,0,1
webp,ffct-17739,text,paragraph text baked in,Plain paper is often whitened during making,,1,1
webp,ffct-17740,text,book labels baked in,Paper is used for many everyday things,,1,2
webp,ffct-17748,text,air space label baked in,Why heavy steel ships still float on water,,3,1
webp,ffct-17809,text,baked-in brand name,Filipinos make snow play from shaved ice not real snow,,1,0
webp,ffct-17840,off-topic,otter not plant growth,young fast-growing plants release oxygen quickly,,0,1
webp,ffct-17846,text,Carbon banner text,carbon is not only black coal,,1,1
webp,ffct-17851,text,baked labels on bone,even bones contain carbon,,1,2
webp,ffct-17867,text,bote-dyaryo sign text,Filipino junk shops let recycling reduce waste,,0,0
webp,ffct-17868,text,REUSE RECYCLE banners,how recycling differs from reusing to reduce waste,,0,1
webp,ffct-17871,text,PAPER RECYCLING label,recycling at school reduces paper waste,,0,3
webp,ffct-17875,text,REDUCE REUSE RECYCLE text,reduce comes before recycle in the 3 R's,,1,2
webp,ffct-17879,text,SAVED ENERGY label,making things from recycled material uses less energy,,2,1
webp,ffct-17880,text,CARBON ATOM label,How carbon atoms block iron layers from sliding,,2,2
webp,ffct-17881,text,STEEL label,What an alloy is using steel as example,,2,3
webp,ffct-17882,text,TOO MUCH CARBON text,Too much carbon makes steel brittle misconception,,3,0
webp,ffct-17885,text,PURE IRON STEEL CAST IRON labels,"Comparing iron, steel and cast iron strength",,3,3
webp,ffct-17886,text,CARBON bag label,How steel is made by melting and mixing,,0,0
webp,ffct-17894,text,1 TSP CARBON label,Mixing does not always make something stronger,,1,1
webp,ffct-17896,text,CHROMIUM NICKEL MANGANESE IRON labels,Other metals besides carbon can be added too,,1,3
webp,ffct-17945,text,COPPER TIN labels,bronze is an alloy of copper and tin,,0,3
webp,ffct-17946,text,COPPER ZINC BRASS labels,brass is an alloy of copper and zinc,,1,0
webp,ffct-17949,text,HIGH-CARBON LOW-CARBON labels,carbon content determines steel hardness,,1,3
webp,ffct-17950,text,VERY LIGHT VERY STRONG labels,aluminum alloys are used in aircraft for lightness,,2,0
webp,ffct-17951,text,SLIDES EASILY LOCKED IN PLACE labels,alloys are generally stronger than pure metals,,2,1
webp,ffct-17952,text,MADE OF label,nickel silver contains no real silver,,2,2
webp,ffct-17956,text,GOLD AU label,gold does not rust because it is unreactive,,3,2
webp,ffct-17962,text,STEEL PURE IRON CARBON labels,alloy properties differ from its component metals,,0,0
webp,ffct-17964,text,coin text,coins are made from alloys not pure metals,,0,1
webp,ffct-17966,text,SHAMPOO HDPE labels,HDPE plastic is used for thick containers and pipes,,0,3
webp,ffct-17967,text,THERMOPLASTIC THERMOSET labels,"thermoplastics can be remelted, thermosets cannot",,1,0
webp,ffct-17968,text,RUBBER SULFUR labels,vulcanization makes rubber stronger and heat-resistant,,1,1
webp,ffct-17970,text,SYNTHETIC RUBBER label,synthetic rubber is made from petroleum,,1,2
webp,ffct-17972,text,GLASS CRYSTAL labels,"glass is amorphous, not crystalline",,2,0
webp,ffct-17989,text,THIN PROTECTIVE SHIELD LAYER label,aluminum forms a thin oxide layer that prevents further corrosion,,0,2
webp,ffct-17990,text,AIR WATER labels,paint and coatings prevent rusting by blocking air and water,,0,3
webp,ffct-18003,text,SILICA GEL DO NOT EAT,silica gel packets absorb moisture to prevent rust,,2,0
webp,ffct-18005,text,IRON OXIDE label,rust is a new substance different from iron,,2,1
webp,ffct-18017,text,MILK 2% MILKFAT label,milk turns sour when bacteria produce lactic acid,,3,2
webp,ffct-18033,text,WATER PETROLEUM labels,polyester is a synthetic fiber made from petroleum,,0,3
webp,ffct-18034,text,STRONG FIBERS label,nylon was the first synthetic fiber and is very strong,,1,0
webp,ffct-18043,text,NATURAL LATEX SYNTHETIC VINYL labels,some people are allergic to natural latex rubber,,2,3
webp,ffct-18051,text,FAT LYE SOAP GLYCEROL labels,saponification makes soap from fat and lye,,0,0
webp,ffct-18052,text,SURFACTANT MOLECULE label,detergents contain synthetic surfactants that clean better in hard water,,0,1
webp,ffct-18054,text,ENERGY USED WAY DOWN text,recycling aluminum saves 95 percent of the energy needed to make new aluminum,,0,2
webp,ffct-18059,text,ULTRA CLEAN LAUNDRY DETERGENT label,laundry detergents are alkaline to help remove stains,,1,0
webp,ffct-18062,text,HAIR CONDITIONER label,hair conditioner works by reducing static charge on hair,,1,1
webp,ffct-18063,text,step labels and text,dishwashing liquid emulsifies cooking grease for removal,,1,2
webp,ffct-18072,text,FLOATS SINKS labels,density is mass divided by volume,,2,2
webp,ffct-18076,text,SEA LEVEL IN THE MOUNTAINS labels,water boils at 100 degrees Celsius at sea level,,3,0
webp,ffct-18079,text,EXPANDING CONTRACTING labels,most solid materials expand when heated and contract when cooled,,3,1
webp,ffct-18094,text,ABSOLUTE ZERO label,absolute zero is the coldest possible temperature,,0,0
webp,ffct-18099,text,SALT IODIZED ASIN LAW labels,iodized salt has iodine added to prevent thyroid disorders,,0,2
webp,ffct-18112,text,HAND SANITIZER label,hand sanitizer is an alcohol solution that kills germs,,1,0
webp,ffct-18129,text,PIGMENT BINDER SOLVENT labels,"paint is a mixture of pigment, binder, and solvent",,2,1
webp,ffct-18133,text,EPOXY A EPOXY B labels,epoxy adhesive hardens by a chemical reaction between two parts,,3,0
webp,ffct-18135,text,RUST PROTECTION label,stainless steel resists rust so it is used in kitchens and hospitals,,3,2
webp,ffct-18142,text,BUTTER OIL labels,fats are solid at room temperature while oils are liquid,,0,1
webp,ffct-18148,text,ACID BASE labels,exothermic reactions release heat to the surroundings,,0,3
webp,ffct-18151,text,Natural Synthetic labels,polymers are very long chain molecules made of repeating units,,1,2
webp,ffct-18161,text,HEAT PRESSURE ANCIENT PLANTS COAL labels,coal formed from ancient plant matter under heat and pressure,,2,1
webp,ffct-18162,text,PALAWAN and buried text,petroleum formed from ancient marine organisms buried under the sea,,2,2
webp,ffct-18167,text,PLATINUM CATALYST label,platinum is used as a catalyst in car catalytic converters,,3,0
webp,ffct-18179,text,ZINC MANGANESE DIOXIDE labels,an alkaline battery uses zinc and manganese dioxide as electrodes,,3,2
webp,ffct-18180,text,ENERGY FLOW label,car batteries are lead-acid batteries that can be recharged,,3,3
webp,ffct-18196,text,POLAR NONPOLAR labels,electronegativity difference determines bond polarity,,2,3
webp,ffct-18200,text,SALT SEAWATER FRESH WATER labels,reverse osmosis desalination forces seawater through a membrane to remove salt,,3,2
webp,ffct-18648,off-topic,owl does not show air weight,does air have weight,,0,1
webp,ffct-18692,text,boiling evaporation labels,the general name for liquid changing to gas,,3,0
webp,ffct-18704,text,gold foil nucleus text,what experiment found the nucleus,,0,1
webp,ffct-18711,text,electron proton neutron labels,what are the three main parts of an atom,,1,3
webp,ffct-18717,text,atomos word baked in,what does the word atom mean,,3,1
webp,ffct-18751,text,PH letters baked in,what does pH stand for,,2,2
webp,ffct-18754,text,carbon word baked in,what diamond is made of,,3,1
webp,ffct-18763,text,iron atoms carbon atoms labels,what steel is made of,,1,2
webp,ffct-18773,text,radioactivity word baked in,who coined the word radioactivity,,0,0
webp,ffct-18798,text,oxygen word baked in,who named oxygen,,3,1
webp,ffct-18808,text,electron proton neutron labels,what are the three parts of an atom,,1,2
webp,ffct-18814,text,hydrogen 1766 text,who discovered hydrogen,,3,0
webp,ffct-18818,text,HELIUM NEON ARGON labels,what are examples of noble gases,,0,0
webp,ffct-18820,text,NITROGEN OXYGEN labels,most abundant gas in air,,0,2
webp,ffct-18832,text,LORD KELVIN label,who the Kelvin scale is named after,,3,2
webp,ffct-18843,text,NITROGEN 78% labels,most abundant gas in air,,1,1
webp,ffct-18844,text,AIR CARBON DIOXIDE labels,how much carbon dioxide in air,,1,2
webp,ffct-18845,text,3 and ARGON labels,third most abundant gas in air,,1,3
webp,ffct-18846,text,oxygen label baked in,what gas we breathe in,,2,0
webp,ffct-18847,text,carbon dioxide label,what gas we breathe out,,2,1
webp,ffct-18851,text,argon neon helium labels,noble gases in air,,3,1
webp,ffct-18856,text,Nitrogen label baked in,who discovered nitrogen,,0,2
webp,ffct-18857,text,gas labels baked in,is air a mixture,,0,3
webp,ffct-18858,text,Oxygen label baked in,which air gas supports burning,,1,0
webp,ffct-18861,text,Oxygen label baked in,color and smell of oxygen,,1,3
webp,ffct-18862,text,Carbon dioxide label,what plants use carbon dioxide for,,2,0
webp,ffct-18863,text,OZONE banner baked in,what gas is ozone made of,,2,1
webp,ffct-18868,text,ROYGBIV letters baked in,what are the 7 colors of the rainbow in order,,3,1
webp,ffct-18870,text,RED YELLOW BLUE labels,how many primary colors (paint),,3,3
webp,ffct-18886,text,Ur uranium label baked in,heaviest naturally occurring element,,1,3
webp,ffct-18889,text,IRON 55.85 labels baked in,chemical symbol for iron,,2,2
webp,ffct-18891,text,Aluminum label baked in,chemical symbol for aluminum,,3,0
webp,ffct-18893,text,COPPER 63.546 labels,chemical symbol for copper,,3,2
webp,ffct-18894,text,FINE GOLD 999.9 labels,chemical symbol for gold,,3,3
webp,ffct-18898,text,78% Nitrogen label,most abundant gas in Earth's atmosphere,,0,3
webp,ffct-18899,text,21% Oxygen label,percent of oxygen in the atmosphere,,1,0
webp,ffct-18915,text,TUNGSTEN DENSITY labels,metal with the highest melting point (tungsten),,0,2
webp,ffct-18921,text,LIQUID NITROGEN label,boiling point of liquid nitrogen in Celsius,,1,2
webp,ffct-18927,text,ETHANOL label baked in,boiling point of ethanol alcohol in Celsius,,2,3
webp,ffct-18937,text,Chinese characters baked in,when was paper invented,,1,1
webp,ffct-18939,text,china label baked in,where did porcelain china come from,,1,3
webp,ffct-18940,text,CHARLES GOODYEAR label,who invented vulcanized rubber,,2,0
webp,ffct-18941,text,RUBBER 1839 labels,when was vulcanized rubber discovered,,2,1
webp,ffct-18943,text,Bakelite label baked in,who invented the first synthetic plastic,,2,2
webp,ffct-18944,text,1913 date baked in,when was the first plastic invented,,2,3
webp,ffct-18945,off-topic,shows product not inventor,who invented stainless steel,,3,0
webp,ffct-18946,text,1913 date baked in,when was stainless steel invented,,3,1
webp,ffct-18952,text,PORTLAND CEMENT label,who invented portland cement,,0,3
webp,ffct-18953,text,CEMENT label baked in,what is concrete made of,,1,0
webp,ffct-18956,text,CRUST ALUMINUM labels,most abundant metal in earth crust,,1,2
webp,ffct-18957,text,Du PONT 1935 labels,who invented nylon,,1,3
webp,ffct-18958,text,gunpowder label baked in,where was gunpowder invented,,2,0
webp,ffct-18971,text,VULCAN label baked in,why rubber treatment is called vulcanization,,3,1
webp,ffct-18980,text,SODIUM label baked in,atomic number of sodium,,1,2
webp,ffct-18982,text,ALUMINUM label baked in,atomic number of aluminum,,2,0
webp,ffct-18983,text,SILICON label baked in,atomic number of silicon,,2,1
webp,ffct-18984,text,PHOSPHORUS label baked in,atomic number of phosphorus,,2,2
webp,ffct-18985,text,SULFUR label baked in,atomic number of sulfur,,2,3
webp,ffct-18986,text,CHLORINE label baked in,atomic number of chlorine,,3,0
webp,ffct-18987,text,ARGON label baked in,atomic number of argon,,3,1
webp,ffct-18988,text,POTASSIUM label baked in,atomic number of potassium,,3,2
webp,ffct-18989,text,CALCIUM label baked in,atomic number of calcium,,3,3
webp,ffct-18990,text,IRON label baked in,atomic number of iron,,0,0
webp,ffct-18991,text,COPPER label baked in,atomic number of copper,,0,1
webp,ffct-18992,text,Zn 30 banner baked in,atomic number of zinc,,0,2
webp,ffct-18993,off-topic,octopus not silver,atomic number of silver,,0,3
webp,ffct-18994,text,79 number baked in,atomic number of gold,,1,0
webp,ffct-18995,text,80 number baked in,atomic number of mercury,,1,1
webp,ffct-18996,text,82 number baked in,atomic number of lead,,1,2
webp,ffct-18997,text,URANIUM PROTONS labels,atomic number of uranium,,1,3
webp,ffct-19004,text,1 KILOGRAM label,what does the prefix kilo mean,,2,2
webp,ffct-19005,text,"MEGA 1,000,000 label",what does the prefix mega mean,,2,3
webp,ffct-19006,text,"GIGA 1,000,000,000 label",what does the prefix giga mean,,3,0
webp,ffct-19008,text,1 mm label baked in,what does the prefix milli mean,,3,2
webp,ffct-19013,text,100 numbers baked in,what does the prefix hecto mean,,0,3
webp,ffct-19016,text,1 km sign baked in,how many meters in a kilometer,,1,2
webp,ffct-19017,text,1 kg label baked in,how many grams in a kilogram,,1,3
webp,ffct-19018,text,1 METER label baked in,how many centimeters in a meter,,2,0
webp,ffct-19019,text,km label baked in,how many millimeters in a meter,,2,1
webp,ffct-19022,text,km label baked in,what is the symbol for kilometer,,3,0
webp,ffct-19023,text,kg label baked in,what is the symbol for kilogram,,3,1
webp,ffct-19025,text,cm label baked in,what is the symbol for centimeter,,3,3
webp,ffct-19026,text,kilo milli labels baked in,how much bigger is kilo than milli,,0,0
webp,ffct-19027,text,1 gram label baked in,how many milligrams in a gram,,0,1
webp,ffct-19028,text,nm label baked in,what is the symbol for the nano prefix,,0,2
webp,ffct-19032,text,1 km sign baked in,how many centimeters in a kilometer,,1,2
webp,ffct-19033,off-topic,owl not metric ton,how many kilograms in a metric ton,,1,3
webp,ffct-19034,text,1812 date baked in,who made the Mohs hardness scale,,2,0
webp,ffct-19036,text,2 number baked in,what is Mohs hardness 2,,2,2
webp,ffct-19037,text,3 number baked in,what is Mohs hardness 3,,2,3
webp,ffct-19038,text,4 number baked in,what is Mohs hardness 4,,3,0
webp,ffct-19039,text,5 number baked in,what is Mohs hardness 5,,3,1
webp,ffct-19040,text,6 number baked in,what is Mohs hardness 6,,3,2
webp,ffct-19041,text,7 number baked in,what is Mohs hardness 7,,3,3
webp,ffct-19073,off-topic,otter not gemstone,how many grams is one carat of a gemstone,,1,3
webp,ffct-19103,text,speech bubble text,helium does not freeze at normal pressure,,0,2
webp,ffct-19144,off-topic,otter not science,what is Avogadro's number,,0,0
webp,ffct-19284,text,baked-in word,example of a halogen,,0,2
webp,ffct-19299,text,baked-in word,which halogen is in iodized salt,,0,0
webp,ffct-19305,off-topic,depicts hydrogen as alkali metal,is hydrogen an alkali metal,,1,2
webp,ffct-19308,text,baked-in words,how many noble gases are there,,2,0
webp,ffct-19337,text,baked-in words,chemical formula of baking soda,,2,2
webp,ffct-19348,text,baked-in word,scientific name of table sugar,,1,0
webp,ffct-19349,text,baked-in words,scientific name of baking soda,,1,1
webp,ffct-19350,text,baked-in words,chemical formula of hydrogen peroxide,,1,2
webp,ffct-19354,off-topic,"octopus, not glucose",chemical formula of glucose,,2,0
webp,ffct-19379,text,baked-in number,hardness of ruby and sapphire,,0,0
webp,ffct-19387,text,baked-in word,who named oxygen,,2,0
webp,ffct-19389,text,baked-in word,who named hydrogen,,2,2
webp,ffct-19391,text,baked-in word,who discovered polonium,,3,0
webp,ffct-19398,text,baked-in word,what is helium named after,,0,2
webp,ffct-19401,text,baked-in word,what is special about radium,,1,1
webp,ffct-19406,text,baked-in words,what nationality was Joseph Priestley,,2,1
webp,ffct-19407,text,baked-in words,what nationality was Lavoisier,,2,2
webp,ffct-19418,text,baked-in words,melting point of gold,,3,1
webp,ffct-19419,text,baked-in unit label,melting point of lead,,3,2
webp,ffct-19421,text,baked-in word,boiling point of alcohol (ethanol),,3,3
webp,ffct-19428,text,baked-in words,boiling point of nitrogen (liquid nitrogen),,1,2
webp,ffct-19429,text,baked-in words,boiling point of gold,,1,3
webp,ffct-19434,text,baked-in words,alcohol boils before water (which boils first),,3,0
webp,ffct-19436,text,baked-in word,melting point of platinum,,3,1
webp,ffct-19443,text,baked-in word,what book did Euclid write,,1,0
webp,ffct-19445,text,baked-in word,what did Archimedes say in the bath,,1,2
webp,ffct-19449,text,baked-in numbers,how do you make the Fibonacci sequence,,2,2
webp,ffct-19450,text,baked-in number,what is the value of pi,,2,3
webp,ffct-19452,text,baked-in words,when is Pi Day,,3,1
webp,ffct-19453,text,baked-in number,does pi ever end,,3,2
webp,ffct-19455,text,baked-in number,how many degrees are in a circle,,0,0
webp,ffct-19458,text,baked-in numbers,what is a prime number,,0,3
webp,ffct-19459,text,baked-in number,what is the smallest prime number,,1,0
webp,ffct-19463,text,baked-in number,who first estimated the value of pi,,1,3
webp,ffct-19464,text,baked-in numbers,what is an even number and an odd number,,2,0
webp,ffct-19473,text,baked-in words,who is the Fahrenheit scale named after,,3,3
webp,ffct-19475,text,baked-in number,at what temperature water freezes in Kelvin,,0,1
webp,ffct-19476,text,baked-in number,at what temperature water boils in Kelvin,,0,2
webp,ffct-19479,text,baked-in number,what unit symbol is used for Kelvin,,1,1
webp,ffct-19505,text,baked-in number,when was the electron discovered,,1,1
webp,ffct-19509,text,baked-in number,when was the neutron discovered,,2,1
webp,ffct-19512,text,baked-in word,what does the word atom mean,,2,3
